       0    1541.9992   -235.50682    -244.6755    9.1686758 
      10    1557.8392   -235.50683   -244.76968    9.2628599 
      20    1587.6098   -235.50683    -244.9467    9.4398749 
      30    1630.7406   -235.50683   -245.20316    9.6963294 
      40    1686.0614   -235.50684    -245.5321    10.025265 
      50    1751.5426   -235.50685   -245.92147    10.414614 
      60    1823.9304   -235.50687    -246.3519    10.845029 
      70    1896.8138   -238.19844   -249.47683    11.278391 
      80    1964.1381   -238.19848   -249.87718      11.6787 
      90    2017.8624   -238.19852   -250.19666    11.998142 
     100    2049.9044   -237.69907   -249.88774    12.188663 
     110    2055.3993   -237.69907   -249.92041    12.221336 
     120    2038.0897   -237.69901   -249.81743    12.118414 
     130    2014.9436   -237.69892    -249.6797    11.980788 
     140    2012.8264   -237.69882   -249.66702    11.968198 
     150    2056.3566   -237.69879   -249.92582    12.227028 
     160    2153.1837   -237.69885   -250.50161    12.802758 
     170    2288.9945   -237.69895   -251.30924    13.610285 
     180    2441.8489   -233.97207   -248.49122    14.519152 
     190    2586.8004   -233.97211   -249.35314    15.381029 
     200    2709.8604   -233.97209   -250.08483     16.11274 
     210    2811.8028   -232.17338   -248.89226    16.718885 
     220    2891.0502   -232.17332   -249.36341    17.190088 
     230    2967.3362   -232.54467   -250.18836    17.643682 
     240    3048.8591   -232.54463   -250.67305    18.128414 
     250    3140.1012    -229.9454   -248.61633    18.670937 
     260    3254.7426   -230.02902   -249.38161    19.352591 
     270    3370.3316    -233.1824   -253.22228    20.039879 
     280    3512.8387   -233.32286   -254.21008    20.887222 
     290    3709.5094   -230.87813   -252.93475    22.056619 
     300    3945.8225   -227.35086   -250.81259    23.461729 
     310    4245.5082   -230.49104   -255.73469     25.24365 
     320    4545.6254   -231.23806    -258.2662    27.028137 
     330     4882.826   -232.91027   -261.94339    29.033121 
     340    5145.8401   -220.64944   -251.24643    30.596994 
     350    5359.5262   -216.76314   -248.63071    31.867564 
     360    5566.8977   -216.76317   -249.86376    33.100588 
     370    5776.2787    -216.7632   -251.10876    34.345561 
     380    5981.4619   -216.76323    -252.3288    35.565573 
     390    6191.0817   -219.43783   -256.24979    36.811965 
     400    6401.5627   -219.43776   -257.50124    38.063478 
     410    6617.4706   -218.80539   -258.15265     39.34726 
     420    6900.1475   -222.42926   -263.45731    41.028047 
     430    7277.2382   -223.44575   -266.71597    43.270216 
     440    7770.8962   -223.87976   -270.08525     46.20549 
     450    8201.6294   -209.62623   -258.39285    48.766615 
     460    8634.2485   -209.62625    -260.9652    51.338954 
     470    9104.5779   -208.77536   -262.91088    54.135517 
     480    9617.8534   -209.84183   -267.02927    57.187436 
     490    10231.026   -211.64772   -272.48106    60.833339 
     500     10901.25   -201.80519   -266.62366    64.818471 
     510    11411.675   -199.06905   -266.92249    67.853437 
     520    11817.768   -195.79738   -266.06544    70.268054 
     530    12263.883   -203.99036     -276.911    72.920642 
     540    12785.528   -206.92435   -282.94667    76.022325 
     550    13460.512   -206.92436   -286.96012    80.035757 
     560    14093.482   -189.16129   -272.96066    83.799376 
     570    14556.913   -172.18359   -258.73851    86.554922 
     580    14856.527   -170.00864   -258.34506    88.336415 
     590    15175.072   -170.00864   -260.23911    90.230471 
     600    15535.508   -170.78859    -263.1622     92.37361 
     610    15934.495   -168.32396   -263.06993    94.745977 
     620    16372.529   -169.00095   -266.35146    97.350512 
     630    16812.472   -170.58905   -270.55545    99.966398 
     640    17282.876   -170.58904   -273.35244     102.7634 
     650    17786.631   -168.17807   -273.93678    105.75871 
     660    18303.127   -165.31982   -274.14961    108.82978 
     670    18838.863   -168.69797   -280.71322    112.01525 
     680    19371.538    -156.6082   -271.79072    115.18252 
     690    19839.766   -158.98676   -276.95335    117.96659 
     700    20288.616   -157.79395   -278.42939    120.63543 
     710    20858.525   -163.53539   -287.55948    124.02409 
     720    21604.598   -162.55005   -291.01027    128.46022 
     730    22423.262   -150.18271   -283.51068    133.32797 
     740    23360.403   -154.06011   -292.96028    138.90018 
     750    24483.525   -157.51003   -303.08825    145.57822 
     760    25683.999   -157.50957   -310.22578     152.7162 
     770    27157.302   -157.50927   -318.98568    161.47641 
     780    29074.681   -167.98916   -340.86624    172.87708 
     790    31361.307   -158.12411    -344.5974    186.47329 
     800    34008.547   -158.12351    -360.3372    202.21369 
     810    37185.422   -169.17525   -390.27853    221.10328 
     820    40445.757   -138.32815   -378.81727    240.48912 
     830    43351.414   -133.51507   -391.28113    257.76606 
     840     46752.77   -123.64621   -401.63662    277.99041 
     850    50450.031   -146.35241   -446.32661     299.9742 
     860    54469.322   -115.33363   -439.20641    323.87278 
     870    58220.412   -89.037083   -435.21371    346.17663 
     880    61808.476   -46.455051   -413.96619    367.51114 
     890    64745.819   -3.3355405   -388.31202    384.97648 
     900    68429.833     -2.59925   -409.48075     406.8815 
     910    72894.066   -6.7749453   -440.20063    433.42569 
     920    77254.393     31.56116   -427.79089    459.35205 
     930    80673.036    93.683287    -385.9959    479.67918 
     940    83449.741    91.349809   -404.83957    496.18938 
     950    86274.589    92.176205   -420.80963    512.98583 
     960    89211.954    130.85222   -399.59909     530.4513 
     970    91447.634    206.01783   -337.72676    543.74459 
     980    92937.078    194.68423   -357.91653    552.60077 
     990    95257.021    202.77075   -363.62432    566.39507 
    1000    97727.856    232.72257   -348.36401    581.08658 
    1010     100163.8    248.02065   -347.54999    595.57064 
    1020    102925.11    259.64399   -352.34526    611.98926 
    1030    105804.89    279.05354   -350.05879    629.11233 
    1040     108153.7     284.7907   -358.28759    643.07829 
    1050    110761.46    300.61147   -357.97251    658.58398 
    1060    114195.89    278.15138   -400.85357    679.00495 
    1070    118035.56    335.92339   -365.91213    701.83552 
    1080    121213.92    387.29469   -333.43923    720.73392 
    1090     124492.3    383.04015   -357.18689    740.22704 
    1100    128491.09    427.26737   -336.73639    764.00376 
    1110    132063.71    474.08236   -311.16403    785.24639 
    1120    134768.02    478.42672   -322.89945    801.32617 
    1130    137381.76    488.27861   -328.58875    816.86735 
    1140    139836.34    530.15314   -301.30905     831.4622 
    1150    141843.84    534.21657   -309.18217    843.39874 
    1160    143408.28     565.1137   -287.58714    852.70084 
    1170    145055.16    559.08422   -303.40892    862.49313 
    1180    147245.25     547.1487   -328.36663    875.51533 
    1190     149693.3    538.14447   -351.92691    890.07138 
    1200    151627.59    576.34743   -325.22518     901.5726 
    1210    152584.24    619.61121   -287.64959     907.2608 
    1220     153227.5    617.25642   -293.82919    911.08561 
    1230    153920.39    637.20039   -278.00511     915.2055 
    1240    154682.95    642.09033   -277.64936    919.73969 
    1250    155713.12    652.78635   -273.07867    925.86502 
    1260    156900.45    655.88419   -277.04064    932.92483 
    1270    158206.34    672.93939   -267.75025    940.68964 
    1280    159590.28    660.89174   -288.02677    948.91851 
    1290    160775.77    674.94686   -281.02048    955.96735 
    1300    162180.17    670.82406    -293.4938    964.31786 
    1310    163831.75    660.16749   -313.97062    974.13812 
    1320     165042.6    656.17561   -325.16216    981.33777 
    1330    165836.39    688.23983   -297.81782    986.05766 
    1340    166499.46    720.41024      -269.59    990.00024 
    1350    167321.41    724.07963   -270.80791    994.88753 
    1360     168389.1    735.05199     -266.184     1001.236 
    1370    169618.61    742.90974   -265.63684    1008.5466 
    1380     171054.3    745.72674   -271.35645    1017.0832 
    1390    172573.36     745.5378   -280.57766    1026.1155 
    1400    174235.62    753.86312   -282.13607    1035.9992 
    1410    176082.43    768.02241   -278.95784    1046.9802 
    1420    178204.03    775.36333   -284.23189    1059.5952 
    1430    180492.27    798.91347   -274.28757     1073.201 
    1440    182369.75    817.46229   -266.90214    1084.3644 
    1450    183990.18    817.08212   -276.91732    1093.9994 
    1460    185826.35    811.18256   -293.73473    1104.9173 
    1470    187640.16    829.19066    -286.5115    1115.7022 
    1480    189442.31    829.19044   -297.22725    1126.4177 
    1490    191614.17    826.85849   -312.47296    1139.3315 
    1500    194139.44     844.9689   -309.37776    1154.3467 
    1510     196699.9    880.45591   -289.11512     1169.571 
    1520    199127.75     900.7934   -283.21354    1184.0069 
    1530    201714.34     913.1504   -286.23633    1199.3867 
    1540    204149.39    937.91479   -275.95066    1213.8655 
    1550    206538.97    968.27986   -259.79396    1228.0738 
    1560    209069.49    985.74975   -257.37044    1243.1202 
    1570    210438.54    1015.8093   -235.45125    1251.2605 
    1580    211852.43     1028.858   -230.80955    1259.6675 
    1590    213152.71    1044.1027   -223.29619    1267.3989 
    1600     214606.2    1051.3911   -224.65018    1276.0413 
    1610    216074.12    1066.4619   -218.30759    1284.7695 
    1620    217642.95    1075.6323   -218.46544    1294.0977 
    1630    219526.47    1085.6795   -219.61755    1305.2971 
    1640     221186.6    1114.5272   -200.64096    1315.1681 
    1650    222236.19    1123.0003   -198.40862     1321.409 
    1660    223356.32    1119.8413   -208.22789    1328.0692 
    1670    224625.06    1123.3333   -212.27979    1335.6131 
    1680    225672.16    1131.8944   -209.94478    1341.8392 
    1690    226716.36    1131.8942   -216.15375    1348.0479 
    1700    227768.35    1140.0093   -214.29373     1354.303 
    1710    228757.27    1156.2923   -203.89079    1360.1831 
    1720    229632.81    1166.8904    -198.4986     1365.389 
    1730    230398.55    1177.6725   -192.26964    1369.9421 
    1740     231250.7    1170.1695   -204.83946     1375.009 
    1750    232149.75    1174.1751   -206.17959    1380.3547 
    1760    232951.91    1179.8604   -205.26392    1385.1243 
    1770    233674.49    1193.8864   -195.53436    1389.4208 
    1780    234410.47    1200.3035    -193.4933    1393.7968 
    1790    235116.96    1203.6617   -194.33592    1397.9976 
    1800    235813.26    1208.8208   -193.31699    1402.1378 
    1810    236512.18    1213.2691   -193.02447    1406.2936 
    1820    237028.67    1213.3785   -195.98601    1409.3646 
    1830    237620.46    1222.8581   -190.02527    1412.8834 
    1840    238185.95    1219.5446   -196.70112    1416.2457 
    1850    238803.04      1214.47   -205.44497    1419.9149 
    1860    239548.13    1220.7018   -203.64339    1424.3452 
    1870     240394.9    1214.5062   -214.87385      1429.38 
    1880    241299.29    1219.8515   -214.90602    1434.7576 
    1890    242256.39    1222.6117   -217.83672    1440.4484 
    1900    243117.93    1241.9953   -203.57583    1445.5711 
    1910    243849.85    1249.9283   -199.99483    1449.9231 
    1920    244593.82    1250.4217   -203.92496    1454.3467 
    1930    245267.02    1250.4217   -207.92787    1458.3495 
    1940     245976.6    1255.9709   -206.59779    1462.5686 
    1950    246785.21    1258.5065   -208.87011    1467.3766 
    1960    247816.08     1267.339   -206.16716    1473.5061 
    1970    248782.39     1271.162   -208.08985    1479.2518 
    1980    249689.55    1275.9366   -208.70921    1484.6458 
    1990    250632.57    1278.9979   -211.25502    1490.2529 
    2000    251793.84    1281.8413   -215.31653    1497.1578 
    2010    253001.98    1295.7797   -208.56163    1504.3414 
    2020    254147.47    1295.5777    -215.5747    1511.1524 
    2030    255114.56      1308.86   -208.04263    1516.9027 
    2040    255998.74    1317.1955   -204.96449      1522.16 
    2050    256803.15    1316.1457   -210.79723     1526.943 
    2060    257494.78    1321.5038    -209.5516    1531.0554 
    2070    258186.65    1321.4452     -213.724    1535.1692 
    2080    258787.01    1323.5236   -215.21536    1538.7389 
    2090       259466    1320.1956    -222.5806    1542.7762 
    2100    259949.35    1331.4682   -214.18199    1545.6502 
    2110    260658.56    1335.0515   -214.81554    1549.8671 
    2120    261437.62     1350.286   -204.21336    1554.4993 
    2130    262283.42    1349.0309   -210.49759    1559.5285 
    2140    263112.98    1364.0739   -200.38707     1564.461 
    2150    263765.56    1366.0242   -202.31705    1568.3412 
    2160    264134.68    1373.0488    -197.4872     1570.536 
    2170    264515.43    1372.0884   -200.71152    1572.7999 
    2180    264904.38    1370.8987   -204.21391    1575.1126 
    2190    265290.88    1382.4474   -194.96332    1577.4107 
    2200    265519.56    1381.0365   -197.73391    1578.7704 
    2210    265796.58    1387.3133   -193.10432    1580.4176 
    2220    265950.83    1385.7688   -195.56595    1581.3348 
    2230    266143.62    1391.8843   -190.59683    1582.4811 
    2240    266254.82    1391.8867   -191.25559    1583.1423 
    2250    266699.52    1390.6454   -195.14101    1585.7865 
    2260    267145.95    1385.5175   -202.92342    1588.4409 
    2270    267268.79    1383.8008   -205.37048    1589.1713 
    2280    267464.58    1386.2865   -204.04904    1590.3355 
