     37 T=  2278. E= -.22945968E+03 F= -.23799996E+03 E0= -.23788465E+03  EK= 0.85403E+01 SP= 0.00E+00 SK= 0.00E+00
     38 T=  2318. E= -.22946151E+03 F= -.23814938E+03 E0= -.23803392E+03  EK= 0.86879E+01 SP= 0.00E+00 SK= 0.00E+00
     39 T=  2409. E= -.22946771E+03 F= -.23849798E+03 E0= -.23838235E+03  EK= 0.90303E+01 SP= 0.00E+00 SK= 0.00E+00
     40 T=  2521. E= -.22948354E+03 F= -.23893493E+03 E0= -.23881936E+03  EK= 0.94514E+01 SP= 0.00E+00 SK= 0.00E+00
     41 T=  2592. E= -.22950874E+03 F= -.23922617E+03 E0= -.23911059E+03  EK= 0.97174E+01 SP= 0.00E+00 SK= 0.00E+00
     42 T=  2542. E= -.22952127E+03 F= -.23904843E+03 E0= -.23893274E+03  EK= 0.95272E+01 SP= 0.00E+00 SK= 0.00E+00
     43 T=  2367. E= -.22947777E+03 F= -.23834934E+03 E0= -.23823365E+03  EK= 0.88716E+01 SP= 0.00E+00 SK= 0.00E+00
     44 T=  2245. E= -.22942648E+03 F= -.23784166E+03 E0= -.23772592E+03  EK= 0.84152E+01 SP= 0.00E+00 SK= 0.00E+00
     45 T=  2333. E= -.22946890E+03 F= -.23821566E+03 E0= -.23809971E+03  EK= 0.87468E+01 SP= 0.00E+00 SK= 0.00E+00
     46 T=  2504. E= -.22951951E+03 F= -.23890769E+03 E0= -.23879158E+03  EK= 0.93882E+01 SP= 0.00E+00 SK= 0.00E+00
     47 T=  2565. E= -.22951195E+03 F= -.23912702E+03 E0= -.23901074E+03  EK= 0.96151E+01 SP= 0.00E+00 SK= 0.00E+00
     48 T=  2497. E= -.22948646E+03 F= -.23884759E+03 E0= -.23873108E+03  EK= 0.93611E+01 SP= 0.00E+00 SK= 0.00E+00
     49 T=  2379. E= -.22946946E+03 F= -.23838749E+03 E0= -.23827069E+03  EK= 0.89180E+01 SP= 0.00E+00 SK= 0.00E+00
     50 T=  2276. E= -.22946204E+03 F= -.23799281E+03 E0= -.23787558E+03  EK= 0.85308E+01 SP= 0.00E+00 SK= 0.00E+00
     51 T=  2220. E= -.22945942E+03 F= -.23777958E+03 E0= -.23766210E+03  EK= 0.83202E+01 SP= 0.00E+00 SK= 0.00E+00
     52 T=  2221. E= -.22945946E+03 F= -.23778349E+03 E0= -.23766592E+03  EK= 0.83240E+01 SP= 0.00E+00 SK= 0.00E+00
     53 T=  2276. E= -.22946229E+03 F= -.23799496E+03 E0= -.23787695E+03  EK= 0.85327E+01 SP= 0.00E+00 SK= 0.00E+00
     54 T=  2372. E= -.22947044E+03 F= -.23836031E+03 E0= -.23824257E+03  EK= 0.88899E+01 SP= 0.00E+00 SK= 0.00E+00
     55 T=  2472. E= -.22948690E+03 F= -.23875337E+03 E0= -.23863579E+03  EK= 0.92665E+01 SP= 0.00E+00 SK= 0.00E+00
     56 T=  2516. E= -.22950905E+03 F= -.23894165E+03 E0= -.23882431E+03  EK= 0.94326E+01 SP= 0.00E+00 SK= 0.00E+00
     57 T=  2439. E= -.22951292E+03 F= -.23865650E+03 E0= -.23853943E+03  EK= 0.91436E+01 SP= 0.00E+00 SK= 0.00E+00
     58 T=  2269. E= -.22946709E+03 F= -.23797143E+03 E0= -.23785480E+03  EK= 0.85043E+01 SP= 0.00E+00 SK= 0.00E+00
     59 T=  2182. E= -.22943282E+03 F= -.23761253E+03 E0= -.23749662E+03  EK= 0.81797E+01 SP= 0.00E+00 SK= 0.00E+00
     60 T=  2286. E= -.22947686E+03 F= -.23804580E+03 E0= -.23793088E+03  EK= 0.85689E+01 SP= 0.00E+00 SK= 0.00E+00
     61 T=  2443. E= -.22951341E+03 F= -.23867125E+03 E0= -.23855799E+03  EK= 0.91578E+01 SP= 0.00E+00 SK= 0.00E+00
     62 T=  2501. E= -.22950394E+03 F= -.23888039E+03 E0= -.23876925E+03  EK= 0.93764E+01 SP= 0.00E+00 SK= 0.00E+00
     63 T=  2456. E= -.22948318E+03 F= -.23868936E+03 E0= -.23858017E+03  EK= 0.92062E+01 SP= 0.00E+00 SK= 0.00E+00
     64 T=  2366. E= -.22947139E+03 F= -.23833906E+03 E0= -.23823123E+03  EK= 0.88677E+01 SP= 0.00E+00 SK= 0.00E+00
     65 T=  2275. E= -.22946704E+03 F= -.23799374E+03 E0= -.23788667E+03  EK= 0.85267E+01 SP= 0.00E+00 SK= 0.00E+00
     66 T=  2202. E= -.22946647E+03 F= -.23772244E+03 E0= -.23761629E+03  EK= 0.82560E+01 SP= 0.00E+00 SK= 0.00E+00
     67 T=  2154. E= -.22946647E+03 F= -.23754110E+03 E0= -.23743609E+03  EK= 0.80746E+01 SP= 0.00E+00 SK= 0.00E+00
     68 T=  2129. E= -.22946693E+03 F= -.23744617E+03 E0= -.23734316E+03  EK= 0.79792E+01 SP= 0.00E+00 SK= 0.00E+00
     69 T=  2123. E= -.22946892E+03 F= -.23742797E+03 E0= -.23732704E+03  EK= 0.79591E+01 SP= 0.00E+00 SK= 0.00E+00
     70 T=  2133. E= -.22947197E+03 F= -.23746677E+03 E0= -.23736792E+03  EK= 0.79948E+01 SP= 0.00E+00 SK= 0.00E+00
     71 T=  2145. E= -.22947882E+03 F= -.23751921E+03 E0= -.23742167E+03  EK= 0.80404E+01 SP= 0.00E+00 SK= 0.00E+00
     72 T=  2132. E= -.22949153E+03 F= -.23748400E+03 E0= -.23738732E+03  EK= 0.79925E+01 SP= 0.00E+00 SK= 0.00E+00
     73 T=  2047. E= -.22950657E+03 F= -.23718148E+03 E0= -.23708567E+03  EK= 0.76749E+01 SP= 0.00E+00 SK= 0.00E+00
     74 T=  1852. E= -.22950179E+03 F= -.23644423E+03 E0= -.23634886E+03  EK= 0.69424E+01 SP= 0.00E+00 SK= 0.00E+00
     75 T=  1596. E= -.22945879E+03 F= -.23543995E+03 E0= -.23534486E+03  EK= 0.59812E+01 SP= 0.00E+00 SK= 0.00E+00
     76 T=  1436. E= -.22943350E+03 F= -.23481575E+03 E0= -.23472058E+03  EK= 0.53823E+01 SP= 0.00E+00 SK= 0.00E+00
     77 T=  1451. E= -.22947027E+03 F= -.23491105E+03 E0= -.23481559E+03  EK= 0.54408E+01 SP= 0.00E+00 SK= 0.00E+00
     78 T=  1525. E= -.22950268E+03 F= -.23521890E+03 E0= -.23512261E+03  EK= 0.57162E+01 SP= 0.00E+00 SK= 0.00E+00
     79 T=  1522. E= -.22950049E+03 F= -.23520524E+03 E0= -.23510840E+03  EK= 0.57047E+01 SP= 0.00E+00 SK= 0.00E+00
     80 T=  1422. E= -.22948762E+03 F= -.23481793E+03 E0= -.23472108E+03  EK= 0.53303E+01 SP= 0.00E+00 SK= 0.00E+00
     81 T=  1269. E= -.22947652E+03 F= -.23423386E+03 E0= -.23413759E+03  EK= 0.47573E+01 SP= 0.00E+00 SK= 0.00E+00
     82 T=  1113. E= -.22946651E+03 F= -.23363800E+03 E0= -.23354209E+03  EK= 0.41715E+01 SP= 0.00E+00 SK= 0.00E+00
     83 T=   995. E= -.22945824E+03 F= -.23318792E+03 E0= -.23309293E+03  EK= 0.37297E+01 SP= 0.00E+00 SK= 0.00E+00
     84 T=   946. E= -.22945519E+03 F= -.23300246E+03 E0= -.23290771E+03  EK= 0.35473E+01 SP= 0.00E+00 SK= 0.00E+00
     85 T=   978. E= -.22945907E+03 F= -.23312549E+03 E0= -.23303113E+03  EK= 0.36664E+01 SP= 0.00E+00 SK= 0.00E+00
     86 T=  1077. E= -.22946735E+03 F= -.23350420E+03 E0= -.23340970E+03  EK= 0.40369E+01 SP= 0.00E+00 SK= 0.00E+00
     87 T=  1210. E= -.22947687E+03 F= -.23401185E+03 E0= -.23391695E+03  EK= 0.45350E+01 SP= 0.00E+00 SK= 0.00E+00
     88 T=  1338. E= -.22948470E+03 F= -.23449937E+03 E0= -.23440417E+03  EK= 0.50147E+01 SP= 0.00E+00 SK= 0.00E+00
     89 T=  1428. E= -.22948945E+03 F= -.23484410E+03 E0= -.23474851E+03  EK= 0.53546E+01 SP= 0.00E+00 SK= 0.00E+00
     90 T=  1463. E= -.22949093E+03 F= -.23497326E+03 E0= -.23487724E+03  EK= 0.54823E+01 SP= 0.00E+00 SK= 0.00E+00
     91 T=  1435. E= -.22948931E+03 F= -.23486745E+03 E0= -.23477096E+03  EK= 0.53781E+01 SP= 0.00E+00 SK= 0.00E+00
     92 T=  1353. E= -.22948446E+03 F= -.23455736E+03 E0= -.23446047E+03  EK= 0.50729E+01 SP= 0.00E+00 SK= 0.00E+00
