     37 T=  2572. E= -.21531333E+03 F= -.22495453E+03 E0= -.22483730E+03  EK= 0.96412E+01 SP= 0.00E+00 SK= 0.00E+00
     38 T=  8739. E= -.13927578E+03 F= -.17203395E+03 E0= -.17192856E+03  EK= 0.32758E+02 SP= 0.00E+00 SK= 0.00E+00
     39 T= 16337. E= -.14361017E+03 F= -.20484883E+03 E0= -.20475624E+03  EK= 0.61239E+02 SP= 0.00E+00 SK= 0.00E+00
     40 T= 15673. E= -.14132108E+03 F= -.20007327E+03 E0= -.19996717E+03  EK= 0.58752E+02 SP= 0.00E+00 SK= 0.00E+00
     41 T= 13458. E= -.14029103E+03 F= -.19073774E+03 E0= -.19062418E+03  EK= 0.50447E+02 SP= 0.00E+00 SK= 0.00E+00
     42 T= 10818. E= -.13458342E+03 F= -.17513360E+03 E0= -.17500638E+03  EK= 0.40550E+02 SP= 0.00E+00 SK= 0.00E+00
     43 T=  8967. E= -.13531545E+03 F= -.16892850E+03 E0= -.16880917E+03  EK= 0.33613E+02 SP= 0.00E+00 SK= 0.00E+00
     44 T=  7547. E= -.13523865E+03 F= -.16352911E+03 E0= -.16341030E+03  EK= 0.28290E+02 SP= 0.00E+00 SK= 0.00E+00
     45 T=  6931. E= -.13472244E+03 F= -.16070532E+03 E0= -.16058295E+03  EK= 0.25983E+02 SP= 0.00E+00 SK= 0.00E+00
     46 T=  8278. E= -.13539750E+03 F= -.16642799E+03 E0= -.16630333E+03  EK= 0.31030E+02 SP= 0.00E+00 SK= 0.00E+00
     47 T=  9799. E= -.13572843E+03 F= -.17246145E+03 E0= -.17233538E+03  EK= 0.36733E+02 SP= 0.00E+00 SK= 0.00E+00
     48 T= 10442. E= -.13545923E+03 F= -.17460055E+03 E0= -.17447237E+03  EK= 0.39141E+02 SP= 0.00E+00 SK= 0.00E+00
     49 T= 11054. E= -.13549713E+03 F= -.17693240E+03 E0= -.17680440E+03  EK= 0.41435E+02 SP= 0.00E+00 SK= 0.00E+00
     50 T= 11875. E= -.13822306E+03 F= -.18273612E+03 E0= -.18260412E+03  EK= 0.44513E+02 SP= 0.00E+00 SK= 0.00E+00
     51 T= 12422. E= -.14004146E+03 F= -.18660622E+03 E0= -.18648141E+03  EK= 0.46565E+02 SP= 0.00E+00 SK= 0.00E+00
     52 T= 12494. E= -.14012048E+03 F= -.18695332E+03 E0= -.18683086E+03  EK= 0.46833E+02 SP= 0.00E+00 SK= 0.00E+00
